estado,estado,Total,Sabe leer y escribir,No sabe leer y escribir,Pob_1000
AS,Aguascaliente,879679,848187,26779,848.187
BC,Baja California,2396702,2312178,58317,2312.178
BCS,Baja California Sur,483011,464918,14701,464.918
CC,Campeche,628543,575009,48894,575.009
CH,Chihuahua,2511554,2400744,87448,2400.744
CL,Coahuila,2071514,2005397,50968,2005.397
CM,Colima,500455,473340,24301,473.34
CS,Chiapas,3424551,2841551,562927,2841.551
MEX,Edo Mexico,Edo.Mex
DF,D F,7110465,6905207,141929,6905.207
DG,Durango,1208679,1158061,43116,1158.061
GT,Guanajuato,4092636,3761059,310553,3761.059
GUER,Guerrero,2481173,2079557,381493,2079.557
HG,Hidalgo,2012010,1808072,191317,1808.072
JAL,Jalisco,5549002,5289082,228111,5289.082
MN,Michoacan,3264181,2932522,309971,2932.522
MS,Morelos,1362430,1271290,82283,1271.29
MTY,Nuevo Leon,3571512,3436515,74155,3436.515
NT,Nayarit,823908,770442,48820,770.442
OC,Oaxaca,2842808,2397999,427118,2397.999
PL,Puebla,4284788,3847908,413224,3847.908
QR,Queretaro,1378252,1289905,81130,1289.905
QT,Quintana Roo,996474,934086,44873,934.086
SIN,Sinaloa,2131512,2018353,99233,2018.353
SN,Sonora,2025823,1953740,57827,1953.74
SP,San Luis Potosi,1936607,1782224,142042,1782.224
TC,Tabasco,1676461,1555433,110882,1555.433
TL,Tlaxcala,877052,829533,42325,829.533
TS,Tamaulipas,2437549,2311013,82931,2311.013
VZ,Veracruz,5860185,5197782,628875,5197.782
YN,Yucatan,1517245,1374488,131457,1374.488
ZS,Zacatecas,1111946,1048400,57299,1048.4
